N,GT,predict
444,1.0,0.9983194470405579
445,1.0,0.9982878565788269
446,1.0,0.9981087446212769
447,1.0,0.9982160925865173
448,1.0,0.9981966614723206
449,1.0,0.9980179071426392
450,1.0,0.997958779335022
451,1.0,0.9978995323181152
452,1.0,0.9970593452453613
453,1.0,0.9964399933815002
454,1.0,0.9955077171325684
455,1.0,0.9941722750663757
456,1.0,0.9945369362831116
457,1.0,0.9897645711898804
458,1.0,0.9881967902183533
459,1.0,0.983034610748291
460,1.0,0.9739162921905518
461,1.0,0.9732607007026672
462,1.0,0.9225713014602661
463,1.0,0.8914332389831543
464,1.0,0.9005711674690247
465,1.0,0.8779801726341248
466,1.0,0.9053406119346619
467,1.0,0.8930883407592773
468,1.0,0.871722936630249
469,1.0,0.8400552868843079
470,1.0,0.8103115558624268
471,1.0,0.8253791332244873
472,1.0,0.930837094783783
473,1.0,0.9342700242996216
474,1.0,0.9834613800048828
475,1.0,0.987934947013855
476,1.0,0.9938634634017944
477,1.0,0.9948244094848633
478,1.0,0.9961361289024353
479,1.0,0.9963183403015137
480,1.0,0.9962466359138489
481,1.0,0.9966862797737122
482,1.0,0.9969791173934937
483,0.0,0.997471809387207
484,0.0,0.9972355961799622
485,0.0,0.9972237348556519
486,0.0,0.997178316116333
487,0.0,0.9971821308135986
488,0.0,0.9969080090522766
489,0.0,0.9963561296463013
490,0.0,0.9957108497619629
491,0.0,0.9956098198890686
492,0.0,0.9926572442054749
493,0.0,0.9910362958908081
494,0.0,0.9883219599723816
495,0.0,0.9725174903869629
496,1.0,0.9412265419960022
497,1.0,0.8136908411979675
498,1.0,0.8036481738090515
499,1.0,0.5287829041481018
500,1.0,0.3911438584327698
501,1.0,0.29204025864601135
502,1.0,0.9347701072692871
503,1.0,0.9629989862442017
504,1.0,0.9794671535491943
505,1.0,0.9744929671287537
506,1.0,0.9831952452659607
507,1.0,0.9769391417503357
508,1.0,0.9819289445877075
509,1.0,0.9798865914344788
510,1.0,0.9834418892860413
511,1.0,0.9820728302001953
512,1.0,0.9736543893814087
513,1.0,0.9628174901008606
514,1.0,0.9515013098716736
515,1.0,0.4324297606945038
516,0.0,0.4147290289402008
517,0.0,0.2112581431865692
518,0.0,0.21437230706214905
519,0.0,0.11360793560743332
520,0.0,0.08251605182886124
521,0.0,0.0908307358622551
522,0.0,0.052378855645656586
523,0.0,0.053649112582206726
524,0.0,0.054939717054367065
525,0.0,0.057809919118881226
526,0.0,0.060355138033628464
527,0.0,0.06103057041764259
528,0.0,0.058311618864536285
529,0.0,0.045246027410030365
530,0.0,0.032214805483818054
531,1.0,0.02453235536813736
532,1.0,0.03438962250947952
533,1.0,0.0410110279917717
534,1.0,0.03754729405045509
535,1.0,0.43170982599258423
536,1.0,0.4530375301837921
537,1.0,0.7849796414375305
538,1.0,0.7182790040969849
539,1.0,0.8725882768630981
540,1.0,0.7864982485771179
541,1.0,0.803987979888916
542,1.0,0.847650408744812
543,1.0,0.8368852734565735
544,1.0,0.771643340587616
545,1.0,0.7916163206100464
546,1.0,0.7373228669166565
547,1.0,0.722694456577301
548,0.0,0.5350395441055298
549,0.0,0.2035835087299347
550,0.0,0.01776902750134468
551,0.0,0.012745177373290062
552,0.0,0.01620270498096943
553,0.0,0.012608364224433899
554,0.0,0.012014660984277725
555,0.0,0.014715692959725857
556,0.0,0.016385547816753387
557,0.0,0.03146103397011757
558,0.0,0.03540400415658951
559,0.0,0.06710617989301682
560,0.0,0.2358570247888565
561,0.0,0.32196348905563354
562,1.0,0.5809344053268433
563,1.0,0.6795539855957031
564,1.0,0.9056732058525085
565,1.0,0.8828675150871277
566,1.0,0.939324676990509
567,1.0,0.9951671361923218
568,1.0,0.9954795837402344
569,1.0,0.9964332580566406
570,1.0,0.9967982172966003
571,1.0,0.9970158338546753
572,1.0,0.9968171715736389
573,1.0,0.9972063899040222
574,1.0,0.9972513318061829
575,1.0,0.9969373941421509
576,1.0,0.9972550272941589
577,1.0,0.9973565340042114
578,1.0,0.9974454641342163
579,1.0,0.9974406957626343
580,1.0,0.9974385499954224
581,1.0,0.9960969090461731
582,1.0,0.9952340722084045
583,1.0,0.9962645173072815
584,1.0,0.9953898191452026
585,1.0,0.9958412051200867
586,1.0,0.9957315325737
587,1.0,0.9954330921173096
588,1.0,0.9946718811988831
589,1.0,0.9938880801200867
590,1.0,0.9914932250976562
591,1.0,0.9899207353591919
592,1.0,0.9879728555679321
