N;Mode;T_0;T_1;T_2;T_3;T_4;T_5;T_6;T_7;T_8;T_9;kfT_0;kfT_1;kfT_2;kfT_3;kfT_4;kfT_5;kfT_6;kfT_7;kfT_8;kfT_9;kfT_dot_0;kfT_dot_1;kfT_dot_2;kfT_dot_3;kfT_dot_4;kfT_dot_5;kfT_dot_6;kfT_dot_7;kfT_dot_8;kfT_dot_9;rwavT_0;rwavT_1;rwavT_2;rwavT_3;rwavT_4;rwavT_5;rwavT_6;rwavT_7;rwavT_8;rwavT_9;ma13T_0;ma13T_1;ma13T_2;ma13T_3;ma13T_4;ma13T_5;ma13T_6;ma13T_7;ma13T_8;ma13T_9;ma55T_0;ma55T_1;ma55T_2;ma55T_3;ma55T_4;ma55T_5;ma55T_6;ma55T_7;ma55T_8;ma55T_9;ma144T_0;ma144T_1;ma144T_2;ma144T_3;ma144T_4;ma144T_5;ma144T_6;ma144T_7;ma144T_8;ma144T_9;S_0;S_1;S_2;S_3;S_4;S_5;S_6;S_7;S_8;S_9;Lfc_0;Lfc_1;Lfc_2;Lfc_3;Lfc_4;Lfc_5;Lfc_6;Lfc_7;Lfc_8;Lfc_9
0;0;40.2880832864708;33.9323017706301;39.7357549861966;38.3015826719079;40.0735335768155;41.2858052393675;35.061031348335;40.6689873472684;40.5607484715827;46.4600829598674;39.7732262304055;34.0783326812445;38.098073774218;37.9199278479881;38.4060148415593;40.596741158699;31.5794009987732;39.3402719293635;39.8502610960344;44.6134098085778;2.33942738056946;2.24823341395001;1.89306464596241;2.31924215596328;2.18024892956399;2.00305016160263;1.86726399483626;2.0193969877327;2.09620868747991;2.36414575982072;21.6990809135292;21.2679449987244;20.3604766524539;21.0146460481531;21.7747261890837;22.4635694302758;23.1649249456924;17.6561674031259;22.6105220499608;22.7988801508256;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;1;1;1;1;1;1;0;1;1;1;nan;nan;nan;nan;nan;nan;0;nan;nan;nan
1;4;45.7531803118404;39.1658490184555;43.5669081608188;43.0617096438256;43.9678811846034;46.1768617746141;33.7684687567609;44.3983952591931;46.1654113814211;51.1731099996069;42.13305149931;36.3421455512215;40.0125332220317;40.2559021470279;40.6033661946454;42.6254458640228;33.4488459798933;41.3765866516669;41.9698924948261;47.0026452330408;3.067143692124;2.95286411730172;2.4424281164575;3.03877694654778;2.81993482011476;2.57090711212511;2.39633502191955;2.74816811096719;2.73916839155261;2.96483414698003;22.9105976293464;22.4409513185861;21.5126898333525;22.1816341354105;22.9847433213435;23.7374978293807;24.4560169630045;18.6555362916134;23.8843534949975;24.0798601716247;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;1;1;1;1;1;1;1;1;1;1;nan;nan;nan;nan;nan;nan;1;nan;nan;nan
2;3;47.5979512865947;41.2533132167598;44.4977160637626;45.3925648037698;44.8964272026651;47.1065019390445;36.9989750171643;46.4738462663629;46.9988148142488;51.9804959297706;45.2527081916609;39.3412900585551;42.4987526099022;43.3430476157345;43.4634244001577;45.2425713868491;35.8768933520355;44.1755459213475;44.757960845265;50.014364725386;2.53778348507791;2.53552166189599;2.01573782014363;2.6030551463184;2.44988969840012;2.1363312212487;2.12829348355326;2.25031728646708;2.26568295433161;2.48476481925402;24.4973773204156;23.9750010080285;23.0201003762443;23.7068972168757;24.5715666706538;25.4064717474915;26.1451296869789;19.9588319487991;25.5491739012004;25.7631755514167;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;1;1;1;1;1;1;1;1;1;1;nan;nan;nan;nan;nan;nan;2;nan;nan;nan
3;4;51.863628154334;46.0173922048144;48.3872236213697;49.997016039329;49.6028995510773;52.201970323106;41.4978568303025;50.5272916777132;51.2135814976078;56.6089636945569;47.8617114743562;41.9441741451979;44.5739304186096;46.0150531259103;45.9754463117261;47.4430479402351;38.0544486581117;46.4957490561296;47.0902431525549;52.5646637887735;1.24584134996871;1.35106916226853;0.964653026184897;1.3876530956418;1.33731616596493;0.982474143962572;1.27157538668097;0.986405095724886;1.09723761183448;1.2788884552167;25.8547263254569;25.2807305166651;24.3089886277875;25.0069369833532;25.9199839496715;26.8335764987483;27.5804459826368;21.0747147853544;26.9734569382123;27.2021666850295;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;1;1;1;1;1;1;1;1;1;1;nan;nan;nan;nan;nan;nan;3;nan;nan;nan
4;2;51.5023792409934;45.7938574197761;47.865112092802;50.4454352449926;49.8549474931759;51.4966154320396;41.1475842580497;50.2774967984733;50.2746122198893;56.6210377101379;49.1533264340073;43.3418046212531;45.5763876966619;47.4529877819692;47.3576528204051;48.4659326008726;39.3567834729616;47.5291907616657;48.2284295274031;53.8876107507973;0.068594941002295;0.186320938976948;-0.004852770142299;0.1471769249621;0.2130566334593;-0.125917679033091;0.464827644257321;-0.21133105403606;0.053744166262294;0.125644773582347;26.5539371895626;25.947963213814;24.9754568897531;25.6720474813408;26.6039568003894;27.5754319521258;28.3076109309871;21.6554282066343;27.7109716058719;27.9423399254002;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;1;1;1;1;1;1;1;1;1;1;nan;nan;nan;nan;nan;nan;4;nan;nan;nan
5;0;49.1563354068026;43.7367261835277;46.069626127623;48.2005543089255;48.3708293580646;48.6485687163317;40.1154827343956;47.5803967294279;48.1393900632746;54.1967825509506;49.2309054492507;43.5439064509999;45.5786689657988;47.6150376325338;47.5850139229173;48.3474786740012;39.8296531311584;47.3266053741499;48.2919188030946;54.0225385275294;-0.501941390932701;-0.507030147301325;-0.488261886623718;-0.569164015258369;-0.440046950048601;-0.722555085875607;0.020045036126667;-0.795543633881808;-0.482293938048071;-0.468680662513629;26.6135427207443;26.0028224216345;25.0403845113408;25.7296874909084;26.6512779631428;27.6556553857402;28.3500394428956;21.718768527646;27.7815379680819;28.0094648455475;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;1;1;1;1;1;1;1;1;1;1;nan;nan;nan;nan;nan;nan;5;nan;nan;nan
6;0;47.6617629908741;42.6921299609353;43.6369352648713;45.7548253854224;46.0983372380853;46.3366349461782;39.0046009147491;45.0098415648473;46.7689807263411;52.6240265482039;48.7152640533837;43.0322053704192;45.0724418192902;47.0336261076828;47.1315089298861;47.6109285627305;39.8406580308337;46.5127683316989;47.8010533522128;53.5401163749913;-0.503014967841745;-0.709488048604584;-0.409608109113237;-0.670113881826506;-0.480483120411268;-0.775961288768636;-0.021717629908704;-0.734957486751011;-0.558438789839614;-0.48990177189318;26.3229014166377;25.7322100030504;24.7784848258007;25.4619980786623;26.3601306447906;27.3784294573571;28.022502908909;21.4996963495066;27.4904028723293;27.7109240834885;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;1;1;1;1;1;1;1;1;1;1;nan;nan;nan;nan;nan;nan;6;nan;nan;nan
7;2;47.3857228822094;41.8127116741946;44.2918631222983;45.7257167449584;45.7438964153205;46.4432281191018;40.0004974839741;45.5415365010885;47.2496759904528;51.9148329184015;48.1905015180007;42.3029288498967;44.6401533916042;46.3432474193541;46.627168441424;46.8145493233191;39.8044087248616;45.7540404980873;47.2287411092707;53.0256906435525;-0.170309791375368;-0.48939359339013;-0.04379109457084;-0.407119202277671;-0.125588807811004;-0.495556819797482;0.180544317326885;-0.348830834135468;-0.383219675970604;-0.118872839027016;25.9997631247041;25.4447275212414;24.4816459661621;25.16942196795;26.0446547673622;27.0736109822276;27.6634898352082;21.2530694393378;27.17244688095;27.3807805462254;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;1;1;1;1;1;1;1;1;1;1;nan;nan;nan;nan;nan;nan;7;nan;nan;nan
8;1;47.0950194507;40.6298045371232;43.306525120746;44.6553321793706;45.4300188030819;44.7494085498061;38.7059992732235;44.0468844789941;45.8850454715817;51.5058294921118;47.9960455542184;41.7830966851905;44.5659754105565;45.9089126070002;46.4733365148978;46.2899285397094;39.9583030570221;45.3708004073632;46.8205959802907;52.8806187424016;0.32483773847032;0.059385595497566;0.553915406377305;0.109829994429595;0.451938379275293;0.065540625213505;0.66953838246358;0.330175048843391;0.055971686697029;0.433337683918667;25.835635169592;25.316769861452;24.3293507420082;25.0336590751504;25.88886205586;26.9386210692112;27.4780203095439;21.135749416293;27.0313794425363;27.2151655786903;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;1;1;1;1;1;1;1;1;1;1;nan;nan;nan;nan;nan;nan;8;nan;nan;nan
9;3;48.4575455765383;41.684014088537;44.4885714764745;45.6058958694268;47.0073642100901;45.6499145816948;40.5150711564754;45.3074407445889;46.9186409872911;53.353214140438;48.3027431946802;41.8135190921987;45.0957041858169;45.9970775220899;46.9014951860471;46.3323708193863;40.6052550511758;45.6725944559791;46.853231433695;53.2974699528256;0.787327140647846;0.713686186294305;1.14805111935585;0.642969894471435;1.04551722773055;0.658426487136717;1.20874491042134;1.02436469671731;0.568819693208064;0.905345825708869;25.9865026419887;25.4864515612451;24.4608075920683;25.1977506353827;26.0426428302583;27.1237238934577;27.6177031941169;21.2648255683853;27.2207619934098;27.3788699321388;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;1;1;1;1;1;1;1;1;1;1;nan;nan;nan;nan;nan;nan;9;nan;nan;nan
