N,GT,predict
444,1.0,0.9984941482543945
445,1.0,0.998690664768219
446,1.0,0.9988933205604553
447,1.0,0.9992546439170837
448,1.0,0.9993195533752441
449,1.0,0.9992985725402832
450,1.0,0.9994704127311707
451,1.0,0.9994891881942749
452,1.0,0.9991769194602966
453,1.0,0.999098539352417
454,1.0,0.9991011619567871
455,1.0,0.9991118311882019
456,1.0,0.9993264675140381
457,1.0,0.9992563128471375
458,1.0,0.9992048144340515
459,1.0,0.9991519451141357
460,1.0,0.9990870952606201
461,1.0,0.9992557168006897
462,1.0,0.9992790818214417
463,1.0,0.9994029998779297
464,1.0,0.9991864562034607
465,1.0,0.9993940591812134
466,1.0,0.9991499185562134
467,1.0,0.9989678859710693
468,1.0,0.9985936284065247
469,1.0,0.9978528022766113
470,1.0,0.997433602809906
471,1.0,0.9932429194450378
472,1.0,0.986745297908783
473,1.0,0.9805517196655273
474,1.0,0.9648241996765137
475,1.0,0.9611638188362122
476,0.0,0.9099633097648621
477,0.0,0.8174861669540405
478,0.0,0.6715449690818787
479,0.0,0.44701269268989563
480,0.0,0.22816181182861328
481,0.0,0.2290145605802536
482,0.0,0.12590231001377106
483,0.0,0.2055109441280365
484,0.0,0.18066269159317017
485,0.0,0.22488422691822052
486,0.0,0.4437732398509979
487,0.0,0.6200641393661499
488,0.0,0.6176109910011292
489,0.0,0.648327648639679
490,1.0,0.6987642645835876
491,1.0,0.8879287242889404
492,1.0,0.9625644683837891
493,1.0,0.9972723126411438
494,1.0,0.9976739287376404
495,1.0,0.9981669187545776
496,1.0,0.9982343912124634
497,1.0,0.9985529780387878
498,1.0,0.9986781477928162
499,1.0,0.998181939125061
500,1.0,0.9980230331420898
501,1.0,0.9983251690864563
502,1.0,0.9982095956802368
503,1.0,0.9975556135177612
504,1.0,0.9979700446128845
505,1.0,0.9967119693756104
506,1.0,0.9973716735839844
507,1.0,0.9907795190811157
508,1.0,0.9875468611717224
509,1.0,0.9895710945129395
510,1.0,0.9892091155052185
511,1.0,0.9891669750213623
512,1.0,0.9897674918174744
513,1.0,0.9866498112678528
514,1.0,0.9779425263404846
515,1.0,0.9552397727966309
516,1.0,0.9450415968894958
517,1.0,0.9079452753067017
518,1.0,0.9058485627174377
519,1.0,0.8424204587936401
520,0.0,0.7350299954414368
521,0.0,0.6473640203475952
522,0.0,0.5318924784660339
523,0.0,0.4464586079120636
524,0.0,0.2897496819496155
525,0.0,0.3350578844547272
526,0.0,0.22714351117610931
527,0.0,0.3029385507106781
528,0.0,0.21132098138332367
529,0.0,0.15753763914108276
530,0.0,0.07886073738336563
531,0.0,0.05537478253245354
532,1.0,0.06770524382591248
533,1.0,0.08480558544397354
534,1.0,0.07527706027030945
535,1.0,0.1867251843214035
536,1.0,0.38261955976486206
537,1.0,0.9617014527320862
538,1.0,0.9840445518493652
539,1.0,0.99512779712677
